code,street,city,state,zip,location_name
B138,"9726 Rose Street","Fresno","CO","68720","EASTERN TRANSPORT"
E677,"4165 Winter Road","Miami","IL","28619","TRIPPLE A TRANS LLC"
L478,"7659 Maple Drive","Las Vegas","VT","73205","UNIFIED LOGISTICS"
L185,"1637 Jefferson Road","Louisville","TN","19523","REGIONAL SHIPPING"
B929,"473 Poplar Drive","San Diego","SC","86682","WESTERN SHIPPING"
F324,"3605 Sunset Drive","Albuquerque","MI","20715","COASTAL CARRIERS"
B429,"590 Mountain View","Austin","AR","34055","SOUTHERN CARRIERS"
W260,"3231 River Road","Sacramento","NV","24998","SUBURBAN FREIGHT"
D756,"4937 Maple Drive","Los Angeles","WV","20424","RAPID TRANSIT LLC"
W231,"9236 River Road","Baltimore","ME","27235","ADVANCED TRANSPORT"
D128,"711 Rose Street","Fresno","PA","78470","TRUSTED SHIPPING"
E857,"3923 Lincoln Avenue","Dallas","AZ","90389","STANDARD LOGISTICS"
A893,"4902 Jefferson Road","Seattle","IL","73881","SUBURBAN FREIGHT"
E327,"1336 Second Avenue","Phoenix","LA","28349","UNITED CARRIERS"
W894,"8446 Poplar Drive","New York","PA","37043","FAST DELIVERY INC"
D120,"6834 Lincoln Avenue","Austin","TN","54789","NATIONAL SHIPPING"
W104,"6620 Main Street","Portland","NE","32307","NATIONAL SHIPPING"
W908,"3500 Sunset Boulevard","San Francisco","MS","32748","ELITE CARRIERS"
D993,"3440 Forest Avenue","Milwaukee","WI","52120","SECURE DELIVERY"
E157,"668 Broadway","Las Vegas","NY","74275","SECURE DELIVERY"
C289,"5183 Second Avenue","Sacramento","ND","98734","MOUNTAIN TRANSPORT"
F893,"2025 Holly Lane","Atlanta","NE","27094","SOUTHERN CARRIERS"
D659,"7553 First Street","Fort Worth","AK","38693","REGIONAL SHIPPING"
E109,"4890 Oak Avenue","Milwaukee","OH","44866","WESTERN SHIPPING"
B284,"9971 Church Street","San Jose","MD","41823","UNIFIED LOGISTICS"
B435,"6333 Jefferson Road","Atlanta","ME","17655","MOUNTAIN TRANSPORT"
D541,"6983 Lake Road","Columbus","ND","15495","CONSOLIDATED CARRIERS"
L984,"6893 Mill Street","Chicago","NV","43678","FEDERAL TRANSPORT"
B813,"2343 Church Street","Detroit","KS","45122","VALLEY SHIPPING"
C146,"1520 Winter Road","San Diego","AL","65235","TRIPPLE A TRANS LLC"
F820,"3288 Sunrise Avenue","Chicago","MI","10388","COASTAL CARRIERS"
D214,"6361 Broadway","San Jose","MD","90414","INTEGRATED LOGISTICS"
C431,"2763 Birch Avenue","Seattle","NC","75657","CENTRAL LOGISTICS"
A597,"3051 Mountain View","Los Angeles","HI","29677","UNIFIED LOGISTICS"
C190,"4276 Holly Lane","Colorado Springs","NM","96920","NATIONAL SHIPPING"
W336,"1113 Spring Street","Memphis","TX","61494","PREMIER FREIGHT"
W707,"6842 Cherry Street","Louisville","AZ","49762","EXPRESS TRANSPORT"
E368,"137 Oak Avenue","Sacramento","MD","34071","URBAN LOGISTICS"
W110,"7574 Cherry Street","Portland","VA","65512","ELITE CARRIERS"
E178,"2343 Church Street","Austin","FL","27672","QUALITY TRANSPORT"
D372,"8 Oak Avenue","Houston","RI","36982","SECURE DELIVERY"
F728,"3112 Cherry Street","Albuquerque","NV","36605","PROFESSIONAL CARRIERS"
L893,"1784 Sunset Boulevard","Kansas City","MA","27691","CONSOLIDATED CARRIERS"
E780,"5704 Main Street","Denver","UT","24460","TRUSTED SHIPPING"
L351,"6610 Madison Drive","Atlanta","OH","67847","WESTERN SHIPPING"
C903,"7710 Valley Drive","Charlotte","VA","78389","WESTERN SHIPPING"
B592,"9547 Washington Street","Phoenix","AZ","88158","COASTAL CARRIERS"
B595,"6241 Park Road","Philadelphia","TN","67196","WESTERN SHIPPING"
L669,"1712 Cherry Street","Fort Worth","IL","43732","DYNAMIC FREIGHT"
F176,"5481 Ash Street","Charlotte","VA","84274","CONSOLIDATED CARRIERS"
A943,"2735 Maple Drive","Tucson","SD","79050","FAST DELIVERY INC"
F514,"4007 School Road","Mesa","DE","95176","SECURE DELIVERY"
E465,"3639 Rose Street","Austin","NH","59567","SECURE DELIVERY"
L677,"2695 Valley Drive","Detroit","MT","88131","EFFICIENT DELIVERY"
C535,"3076 Second Avenue","Jacksonville","IA","30542","SECURE DELIVERY"
A933,"2217 Garden Street","San Antonio","GA","23848","SECURE DELIVERY"
B462,"7845 Rose Street","Miami","NM","62265","FEDERAL TRANSPORT"
E896,"2209 Main Street","Oklahoma City","MS","86187","NORTHERN FREIGHT"
L243,"2956 Spring Street","Miami","TX","48341","PROFESSIONAL CARRIERS"
E885,"9380 Willow Road","Phoenix","GA","95783","CONTINENTAL LOGISTICS"
D653,"9473 Ridge Road","Los Angeles","NM","15774","QUALITY TRANSPORT"
B328,"3896 Sunset Boulevard","Dallas","IN","71181","MODERN FREIGHT"
E279,"7090 Madison Drive","Austin","MA","13462","SUBURBAN FREIGHT"
L943,"1680 Birch Avenue","Seattle","FL","67836","SUBURBAN FREIGHT"
W598,"4869 Ash Street","Atlanta","NV","40669","INTEGRATED LOGISTICS"
W992,"9425 Jefferson Road","Memphis","OK","64924","METRO DELIVERY"
F355,"7789 Mill Street","San Francisco","GA","17591","CENTRAL LOGISTICS"
C394,"2783 Winter Road","Nashville","MA","92226","TRUSTED SHIPPING"
W762,"5250 Spring Street","New York","AZ","62010","NATIONAL SHIPPING"
